Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity
2013-10-29,192.75666,84684,3116233032610440,9080450.0,19920610,1679026357970510000,34.455093,3842772.7142857136,129.770004,49.490002000000004,21.690001000000002,177.169998,108.059998,21.440001000000002,1.738484455,3
2013-10-30,197.4,94473,3672946677782940,9075575.0,19971519,1679026357970510000,29.72252695,3843396.0,129.600006,49.189999,21.879998999999998,176.28999299999995,107.410004,21.48,1.738484455,3
2013-10-31,196.02499,95831,4057988402824380,9070300.0,20022851,1679026357970510000,29.97871915,3844571.2857142864,127.739998,49.099998,21.1,175.78999299999995,107.639999,21.629998999999998,1.738484455,3
2013-11-01,198.04883,85764,4045003155712030,9065100.0,20069765,1679026357970510000,35.00360841,3845746.5714285714,126.949997,48.91,21.08,176.21000700000005,106.190002,21.75,1.812959206,10
2013-11-02,198.93233,76960,3910475076212270,9060050.0,20110388,1679026357970510000,23.53096079,3846921.857142857,126.949997,48.91,21.08,176.21000700000005,106.190002,21.75,1.812959206,10
2013-11-03,200.543,81980,3690843798433060,9055250.0,20150667,1679026357970510000,40.87943337,3848097.142857143,126.949997,48.91,21.08,176.21000700000005,106.190002,21.75,1.812959206,10
2013-11-04,210.3075,99449,3740291306482460,9050375.0,20204389,1679026357970510000,51.82985587,3849272.4285714286,126.809998,49.580002,20.85,176.830002,106.290001,21.690001000000002,1.812959206,10
2013-11-05,225.02,116561,3553145113172220,9046025.0,20269331,2194426515333220000,47.27916843,3850447.7142857136,126.559998,49.200001,20.9,176.270004,105.019997,21.74,1.812959206,10
2013-11-06,248.25332999999998,130148,4139325356130620,9041950.0,20334187,2194426515333220000,145.62558243,3851623.0,127.199997,49.41,21.0,177.169998,105.07,21.67,1.812959206,10
2013-11-07,262.32666,129202,3571359028582220,9038350.0,20411709,2194426515333220000,128.50248332,3859594.5714285714,126.160004,48.709998999999996,20.83,174.929993,105.959999,21.77,1.812959206,10
2013-11-08,294.48699,129769,3416283117487880,9035000.0,20486090,2194426515333220000,106.82017227,3867566.142857143,124.279999,49.459998999999996,20.690001000000002,177.28999299999995,103.410004,21.9,1.812959206,10
2013-11-09,331.10325,129144,3719665161766480,9031300.0,20556927,2194426515333220000,56.05344924,3875537.7142857136,124.279999,49.459998999999996,20.690001000000002,177.28999299999995,103.410004,21.9,1.812959206,10
